S. No.,AISHE Code,Institute Name,State Name,Management Type
303,C-29157,"Netaji Subhas Institute of Sports, Moti Bagh, Patiala",Punjab,Central Government
304,U-0384,"Sant Longowal Institute of Engg. & Tech., Longowal",Punjab,Central Government
305,U-0689,All India Institute of Medical Sciences Jodhpur,Rajasthan,Central Government
306,U-0392,"Central University of Rajasthan, Jaipur",Rajasthan,Central Government
307,U-0799,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA",Rajasthan,Central Government
308,U-1010,Indian Institute of Management Udaipur,Rajasthan,Central Government
309,U-0395,Indian Institute of Technology Jodhpur,Rajasthan,Central Government
310,U-0410,Malaviya National Institute of Technology,Rajasthan,Central Government
311,C-26217,"National Institute of Ayurveda, Jaipur",Rajasthan,Central Government
312,C-47473,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, JODHPUR",Rajasthan,Central Government
313,U-0614,National Institute of Technology Sikkim,Sikkim,Central Government
314,U-0430,"Sikkim  University, Gangtok",Sikkim,Central Government
315,U-1304,ALL INDIA INSTITUTE OF MEDICAL SCIENCES MADURAI,Tamil Nadu,Central Government
316,C-26800,"Central Electro-Chemical Research Institute, Karaikudi",Tamil Nadu,Central Government
317,S-15035,"Central Institute of Petrochemicals Engineering & Technology (CIPET), Madurai",Tamil Nadu,Central Government
318,U-0449,"Central University of Tamil Nadu, Tiruvarur",Tamil Nadu,Central Government
319,U-0452,Dakshina Bharat Hindi Prachar Sabha,Tamil Nadu,Central Government
320,C-45507,"ESI MEDICAL COLLEGE & ESI-PGIMSR (Inst. Code - 495), CHENNAI",Tamil Nadu,Central Government
321,C-58886,FOOTWEAR DESIGN AND DEVELOPMENT INSTITUTE,Tamil Nadu,Central Government
322,C-56312,"INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, SALEM",Tamil Nadu,Central Government
323,U-0455,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Tamil Nadu,Central Government
324,U-0754,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRIRANGAM",Tamil Nadu,Central Government
325,U-1000,Indian Institute of Management Tiruchirappalli,Tamil Nadu,Central Government
